id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,_source_file,motif_rejet
2022-1688351,2022-02-17,000001,Adjudication,77000.0,34,,RUE DE L ESPERANCE,3364,75013,75113,Paris 13e Arrondissement,75,,,75113000DL0055,,,32,,,,,,,,,,1,2,Appartement,10,1,,,,,,2.346818,48.82538,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1652322,2022-02-10,000001,Adjudication,30000.0,6,,RUE DE BIZERTE,0993,75017,75117,Paris 17e Arrondissement,75,,,75117000CO0047,,,3,,,,,,,,,,1,2,Appartement,10,1,,,,,,2.323352,48.885298,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1353305,2023-07-28,000002,Echange,2000.0,26,,RUE BOILEAU,1058,75016,75116,Paris 16e Arrondissement,75,,,75116000AN0075,,,64,,,,,,,,,,1,2,Appartement,10,1,,,,,,2.264253,48.845579,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1340970,2023-09-21,000001,Adjudication,76000.0,42,,RUE ST LOUIS EN L ILE,8678,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0050,,,14,,,,,,,,,,1,2,Appartement,9,1,,,,,,2.357106,48.851832,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1340949,2023-09-21,000001,Adjudication,163000.0,3,,RUE FREDERIC BASTIAT,3832,75008,75108,Paris 8e Arrondissement,75,,,75108000BF0048,,,21,17,,,,,,,,,1,2,Appartement,8,1,,,,,,2.306716,48.872555,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1333430,2023-02-09,000001,Adjudication,49000.0,40,,AV SIMON BOLIVAR,8978,75019,75119,Paris 19e Arrondissement,75,,,75119000EB0017,,,667,,,,,,,,,,1,2,Appartement,8,1,,,,,,2.38278,48.87575,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1665908,2022-02-11,000002,Echange,50000.0,1,,RUE MARIETTA MARTIN,6085,75016,75116,Paris 16e Arrondissement,75,,,75116000CM0057,,,38,,,,,,,,,,1,2,Appartement,8,1,,,,,,2.274013,48.856529,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1361455,2023-05-25,000001,Adjudication,80000.0,307,,RUE DE VAUGIRARD,9624,75015,75115,Paris 15e Arrondissement,75,,,75115000BS0081,,,21,,,,,,,,,,1,2,Appartement,8,1,,,,,,2.299794,48.838744,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1355333,2023-04-06,000001,Adjudication,15000.0,22,,AV DU BEL AIR,0809,75012,75112,Paris 12e Arrondissement,75,,,75112000CL0017,,,151,,,,,,,,,,1,2,Appartement,8,1,,,,,,2.39761,48.846912,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1664071,2022-09-22,000001,Adjudication,8700.0,24,,RUE DE SAINT PETERSBOURG,8724,75008,75108,Paris 8e Arrondissement,75,,,75108000CD0071,,,30,,,,,,,,,,1,2,Appartement,7,1,,,,,,2.325764,48.881334,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1663793,2022-12-15,000001,Echange,70000.0,32,,RUE DE TURENNE,9506,75003,75103,Paris 3e Arrondissement,75,,,75103000AN0077,,,22,,,,,,,,,,1,2,Appartement,6,1,,,,,,2.364713,48.857154,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1340924,2023-05-25,000001,Adjudication,29000.0,48,,RUE CONDORCET,2268,75009,75109,Paris 9e Arrondissement,75,,,75109000BB0069,,,56,,,,,,,,,,1,2,Appartement,4,1,,,,,,2.343493,48.880429,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1641231,2022-01-10,000001,Vente en l'état futur d'achèvement,304000.0,6,B,RUE DES LYANES,5861,75020,75120,Paris 20e Arrondissement,75,,,75120000BK0077,,,19,,,,,,,,,,1,,Inconnu,,,,,,,,2.40624,48.863202,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1642298,2022-02-03,000001,Vente en l'état futur d'achèvement,495000.0,6,B,RUE DES LYANES,5861,75020,75120,Paris 20e Arrondissement,75,,,75120000BK0077,,,61,,,,,,,,,,1,,Inconnu,,,,,,,,2.40624,48.863202,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
